Protein	RNA
1yl4_G	1yl4_1
2bs0_C	2bs0_S
2j0s_T	2j0s_E
2j0s_A	2j0s_E
1xok_C	1xok_A
1zho_C	1zho_B
3jyv_M	3jyv_A
3jyv_K	3jyv_A
3jyv_D	3jyv_A
3jyv_I	3jyv_A
3jyv_L	3jyv_A
3jyv_S	3jyv_A
3jyv_N	3jyv_A
3jyv_R	3jyv_A
3jyv_G	3jyv_A
3jyv_J	3jyv_A
3jyv_T	3jyv_A
3jyv_O	3jyv_A
3jyv_Q	3jyv_A
3jyv_H	3jyv_A
3jyv_B	3jyv_A
3jyv_C	3jyv_A
3jyv_E	3jyv_A
1l1c_A	1l1c_C
2bq5_A	2bq5_R
2xfz_M	2xfz_A
2x9r_Y	2x9r_A
2v48_Y	2v48_A
2hgr_N	2hgr_A
2uxd_D	2uxd_A
2vqe_J	2vqe_A
2vqe_F	2vqe_A
1hr0_E	1hr0_A
1ibk_E	1ibk_A
2qnh_f	2qnh_y
2vqe_E	2vqe_A
2xg1_E	2xg1_A
2b9o_G	2b9o_A
1n33_G	1n33_A
2hhh_I	2hhh_A
1xnr_C	1xnr_A
2vqe_L	2vqe_A
1xmo_K	1xmo_A
1gix_L	1gix_A
1ibk_I	1ibk_A
2uua_I	2uua_A
1ml5_O	1ml5_A
2wrk_G	2wrk_A
2x9t_Q	2x9t_A
1hr0_F	1hr0_A
2j00_F	2j00_A
2uuc_F	2uuc_A
1hr0_W	1hr0_A
1ibm_N	1ibm_A
2wrn_T	2wrn_A
2uxb_N	2uxb_A
2wrk_Q	2wrk_A
1n33_V	1n33_A
2uua_R	2uua_A
2wrq_Z	2wrq_A
2hhh_S	2hhh_A
1ml5_r	1ml5_A
1ml5_d	1ml5_A
2uub_P	2uub_A
1ml5_n	1ml5_A
2xfz_Y	2xfz_A
2b9m_H	2b9m_A
1xnr_B	1xnr_A
1jgq_R	1jgq_A
2wrk_Y	2wrk_A
2uuc_E	2uuc_A
2xfz_D	2xfz_A
2zkr_a	2zkr_P
2pxf_A	2pxf_B
3a2k_B	3a2k_D
2gjw_B	2gjw_E
1i6u_A	1i6u_C
2ese_A	2ese_B
1aq3_C	1aq3_S
3ivk_B	3ivk_C
2dr5_A	2dr5_B
1ysh_D	1ysh_B
1ysh_C	1ysh_B
1ysh_E	1ysh_B
3i1s_M	3i1s_A
2wwl_K	2wwl_A
3i21_C	3i21_A
3fih_B	3fih_A
3i21_J	3i21_A
3fih_F	3fih_A
3e1a_W	3e1a_1
3i1o_C	3i1o_A
3i21_L	3i21_A
2wwl_G	2wwl_A
3fih_T	3fih_A
3fih_R	3fih_A
3fih_U	3fih_A
3fih_Z	3fih_A
3fih_S	3fih_A
3e1c_J	3e1c_1
3e1a_G	3e1a_1
2wwl_T	2wwl_A
3i21_P	3i21_A
2wwl_C	2wwl_A
3i1s_R	3i1s_A
3i1o_G	3i1o_A
3e1a_T	3e1a_1
3i1o_U	3i1o_A
3fih_H	3fih_A
3i1o_B	3i1o_A
3i21_O	3i21_A
3fih_E	3fih_A
3e1a_R	3e1a_1
2oj3_A	2oj3_B
1dk1_A	1dk1_B
2vqf_M	2vqf_Y
2vqf_L	2vqf_Y
2b63_B	2b63_R
2b63_A	2b63_R
1aq4_A	1aq4_R
1ekz_A	1ekz_B
1zn1_A	1zn1_B
1zdi_B	1zdi_S
2w2h_A	2w2h_S
2w2h_D	2w2h_S
1sds_A	1sds_E
2jpp_B	2jpp_C
2zkr_t	2zkr_X
2zkr_m	2zkr_X
2zkr_p	2zkr_X
2zkr_l	2zkr_X
2zkr_o	2zkr_X
2zkr_c	2zkr_X
1eg0_J	1eg0_M
1j1u_A	1j1u_B
1b23_P	1b23_R
1u0b_B	1u0b_A
1zn0_A	1zn0_C
1zn1_L	1zn1_C
1zn0_B	1zn0_C
2uu9_M	2uu9_Y
2uu9_L	2uu9_Y
2zkr_b	2zkr_S
2vaz_F	2vaz_A
2nue_B	2nue_C
2ez6_A	2ez6_C
2nr0_C	2nr0_H
1y39_B	1y39_C
1qa6_A	1qa6_D
2om7_L	2om7_I
1zbh_A	1zbh_E
3d5c_X	3d5c_V
3d5c_K	3d5c_V
3f1g_C	3f1g_V
3f1g_L	3f1g_V
3d5a_G	3d5a_V
2hgr_U	2hgr_1
3d5c_E	3d5c_V
2hgr_G	2hgr_1
2b6g_A	2b6g_B
3eq4_L	3eq4_Y
3eq4_I	3eq4_Y
3eq4_X	3eq4_Y
2zkq_d	2zkq_C
2qbk_6	2qbk_B
1p85_A	1p85_0
2vhn_N	2vhn_B
2qam_Q	2qam_B
1p86_X	1p86_0
1vs8_D	1vs8_B
2j28_D	2j28_B
2qbi_D	2qbi_B
2z4l_E	2z4l_B
2i2v_E	2i2v_B
2j28_G	2j28_B
1p85_D	1p85_0
2z4n_H	2z4n_B
2aw4_0	2aw4_B
2i2t_J	2i2t_B
2qoz_J	2qoz_B
2qp1_J	2qp1_B
2qam_I	2qam_B
2qao_I	2qao_B
2qao_T	2qao_B
3df2_M	3df2_B
2qam_W	2qam_B
2z4l_D	2z4l_B
2qba_N	2qba_B
2qox_N	2qox_B
2qox_L	2qox_B
2z4l_I	2z4l_B
3bbx_M	3bbx_B
2qbi_X	2qbi_B
2i2t_O	2i2t_B
2qba_R	2qba_B
2vhm_R	2vhm_B
2vhn_C	2vhn_B
2qoz_W	2qoz_B
3bbx_S	3bbx_B
1vs6_1	1vs6_B
2i2t_X	2i2t_B
2j28_9	2j28_B
3df4_X	3df4_B
2j28_H	2j28_B
2qbi_U	2qbi_B
3kcr_J	3kcr_8
2qbi_4	2qbi_B
2rdo_Z	2rdo_B
3kcr_A	3kcr_8
3kcr_5	3kcr_8
2j28_2	2j28_B
3bbx_V	3bbx_B
2i2t_P	2i2t_B
2z4n_3	2z4n_B
2i2t_K	2i2t_B
2qbc_Z	2qbc_B
2rdo_7	2rdo_B
2az0_B	2az0_D
1il2_A	1il2_D
1asz_B	1asz_R
1sds_C	1sds_F
2zkr_w	2zkr_0
2zkr_t	2zkr_0
2zkr_9	2zkr_0
2zkr_6	2zkr_0
2zkr_s	2zkr_0
2zkr_5	2zkr_0
2zkr_d	2zkr_0
2zkr_b	2zkr_0
2zkr_3	2zkr_0
2zkr_r	2zkr_0
2zkr_a	2zkr_0
2zkr_2	2zkr_0
2zkr_m	2zkr_0
2zkr_e	2zkr_0
2zkr_p	2zkr_0
2zkr_z	2zkr_0
2zkr_l	2zkr_0
2zkr_y	2zkr_0
2zkr_4	2zkr_0
2zkr_n	2zkr_0
2zkr_f	2zkr_0
2zkr_h	2zkr_0
2zkr_j	2zkr_0
2zkr_o	2zkr_0
2zkr_q	2zkr_0
2zkr_u	2zkr_0
2zkr_g	2zkr_0
2zkr_i	2zkr_0
2zkr_x	2zkr_0
2zkr_k	2zkr_0
2zkr_c	2zkr_0
1vsa_X	1vsa_x
1vsa_E	1vsa_x
1vsa_U	1vsa_x
1vsa_K	1vsa_x
1vsa_M	1vsa_x
1vsa_T	1vsa_x
1pny_Q	1pny_0
1pnu_L	1pnu_0
1pnu_O	1pnu_0
1pny_X	1pny_0
1pnu_C	1pnu_0
1pny_E	1pny_0
1pnu_D	1pnu_0
1pny_Z	1pny_0
1pnu_S	1pnu_0
1pnu_R	1pnu_0
1pnu_U	1pnu_0
1pnu_B	1pnu_0
1pnu_K	1pnu_0
1pny_J	1pny_0
1pnu_G	1pnu_0
1pny_K	1pny_0
1pny_W	1pny_0
1pnu_M	1pnu_0
1pny_P	1pny_0
1pnu_A	1pnu_0
1pnu_1	1pnu_0
1pnu_H	1pnu_0
1pny_4	1pny_0
1pnu_F	1pnu_0
1pny_5	1pny_0
1pnu_3	1pnu_0
1pnu_2	1pnu_0
1pny_T	1pny_0
1pnu_N	1pnu_0
1pny_Y	1pny_0
1pnu_I	1pnu_0
1i96_M	1i96_A
1i97_K	1i97_A
1i94_D	1i94_A
1i96_J	1i96_A
1i94_F	1i94_A
1i97_I	1i97_A
1i96_C	1i96_A
1i95_K	1i95_A
1i97_L	1i97_A
1i97_G	1i97_A
1i96_V	1i96_A
1i95_T	1i95_A
1i96_N	1i96_A
1i95_Q	1i95_A
1i97_U	1i97_A
1i96_R	1i96_A
1i94_S	1i94_A
1i96_P	1i96_A
1i94_H	1i94_A
1i94_B	1i94_A
1i96_O	1i96_A
1i94_E	1i94_A
1i95_D	1i95_A
1r3e_A	1r3e_C
3i1z_M	3i1z_V
3i1z_I	3i1z_V
1q2s_B	1q2s_F
2b64_Y	2b64_X
2b64_C	2b64_X
2b64_L	2b64_X
2b64_E	2b64_X
2b64_D	2b64_X
2pxu_A	2pxu_B
3deg_C	3deg_I
2zh1_A	2zh1_B
2c4z_C	2c4z_S
2j00_M	2j00_X
2j02_K	2j02_X
2j02_L	2j02_X
2j02_G	2j02_X
2noq_G	2noq_E
1ibm_L	1ibm_Y
3a6p_H	3a6p_J
3a6p_F	3a6p_J
2b3j_A	2b3j_F
1dfu_P	1dfu_N
2b2g_C	2b2g_S
1feu_D	1feu_B
2c4q_C	2c4q_S
2uxc_M	2uxc_X
2uxc_L	2uxc_X
3iy8_K	3iy8_A
3iy8_F	3iy8_A
3iy8_I	3iy8_A
3iy8_L	3iy8_A
3iy8_R	3iy8_A
3iy8_Q	3iy8_A
3iy8_P	3iy8_A
3iy8_H	3iy8_A
3iy8_O	3iy8_A
3iy8_E	3iy8_A
1giy_X	1giy_B
2hgq_G	2hgq_B
2b66_0	2b66_B
2hgq_P	2hgq_B
2hgj_R	2hgj_B
2b9p_Z	2b9p_B
1giy_G	1giy_B
2b9p_Q	2b9p_B
2b9p_S	2b9p_B
2hgj_Y	2hgj_B
1ml5_v	1ml5_b
2ab4_A	2ab4_B
3dkn_A	3dkn_D
3ep2_L	3ep2_Y
3eq3_I	3eq3_Y
3eq3_X	3eq3_Y
2rfk_B	2rfk_E
2rfk_A	2rfk_E
1jgo_N	1jgo_D
1jgp_J	1jgp_D
2om7_K	2om7_M
2wrl_3	2wrl_B
3i8i_V	3i8i_B
3i8i_G	3i8i_B
3i8i_3	3i8i_B
2wrr_Q	2wrr_B
2wrl_S	2wrl_B
2wro_0	2wro_B
2wrl_4	2wrl_B
2wrl_Z	2wrl_B
2wrn_M	2wrn_X
2wrq_C	2wrq_X
2wrn_L	2wrn_X
2wrn_G	2wrn_X
2wrn_E	2wrn_X
2wyy_F	2wyy_R
2zkq_m	2zkq_A
2zkq_k	2zkq_A
2zkq_e	2zkq_A
2zkq_i	2zkq_A
2zkq_a	2zkq_A
2zkq_g	2zkq_A
2zkq_c	2zkq_A
2zkq_l	2zkq_A
2zkq_n	2zkq_A
2zkq_q	2zkq_A
2zkq_j	2zkq_A
2zkq_s	2zkq_A
2zkq_b	2zkq_A
2zkq_h	2zkq_A
2zkq_o	2zkq_A
2zkq_d	2zkq_A
2gya_L	2gya_0
2gyc_O	2gyc_0
2gyc_X	2gyc_0
2gya_C	2gya_0
2gyc_E	2gyc_0
2gyc_D	2gyc_0
2gya_R	2gya_0
2gya_U	2gya_0
2gya_B	2gya_0
2gya_J	2gya_0
2gyc_G	2gyc_0
2gya_K	2gya_0
2gya_W	2gya_0
2gya_N	2gya_0
2gya_M	2gya_0
2gyc_3	2gyc_0
2gyc_Q	2gyc_0
2gya_1	2gya_0
2gya_F	2gya_0
2gyc_S	2gyc_0
2gya_H	2gya_0
2gya_2	2gya_0
2gya_A	2gya_0
2gya_T	2gya_0
2gyc_N	2gyc_0
2gyc_I	2gyc_0
2gya_Z	2gya_0
2bny_B	2bny_R
1c04_B	1c04_F
1c04_D	1c04_F
1m5k_C	1m5k_B
2j28_0	2j28_8
2j28_S	2j28_8
2j28_9	2j28_8
1e8s_B	1e8s_C
1e8s_A	1e8s_C
3k0j_D	3k0j_F
2ozb_D	2ozb_F
2ozb_B	2ozb_C
1mji_A	1mji_C
1r9f_A	1r9f_B
2xb2_T	2xb2_E
2xb2_A	2xb2_E
2zkr_m	2zkr_C
2drb_A	2drb_B
3i21_L	3i21_X
2b9o_C	2b9o_X
2b9o_L	2b9o_X
2b9o_E	2b9o_X
2b9o_D	2b9o_X
1ob5_C	1ob5_B
2zhb_A	2zhb_B
2c50_C	2c50_S
2b2g_C	2b2g_R
1urn_B	1urn_Q
3ktw_A	3ktw_C
1qzc_L	1qzc_A
2du4_A	2du4_C
1s1h_M	1s1h_A
1s1h_K	1s1h_A
1s1h_G	1s1h_A
1s1h_I	1s1h_A
1s1h_S	1s1h_A
1s1h_L	1s1h_A
1s1h_O	1s1h_A
1s1h_N	1s1h_A
1s1h_J	1s1h_A
1s1h_D	1s1h_A
1s1h_Q	1s1h_A
1s1h_T	1s1h_A
1s1h_H	1s1h_A
1s1h_B	1s1h_A
1s1h_C	1s1h_A
1s1h_E	1s1h_A
2j37_4	2j37_Z
2j37_6	2j37_Z
2j37_W	2j37_Z
2hgp_P	2hgp_1
2hgp_N	2hgp_1
2hgp_F	2hgp_1
2hgp_O	2hgp_1
2hgp_J	2hgp_1
2hgp_U	2hgp_1
2hgp_E	2hgp_1
2hgp_H	2hgp_1
2hgp_G	2hgp_1
2vpl_C	2vpl_D
2pxe_A	2pxe_B
2dr2_A	2dr2_B
2azx_A	2azx_C
2bte_D	2bte_E
1u1y_A	1u1y_R
2x7n_B	2x7n_A
2x7n_C	2x7n_A
3cz3_D	3cz3_H
1jgq_N	1jgq_1
1jgq_F	1jgq_1
2zkr_5	2zkr_Z
2zkr_4	2zkr_Z
2bs1_B	2bs1_R
2noq_F	2noq_A
2noq_G	2noq_A
2noq_H	2noq_A
1ysh_D	1ysh_F
1ysh_C	1ysh_F
1rlg_A	1rlg_C
1rlg_B	1rlg_D
1rpu_A	1rpu_C
3f1e_M	3f1e_Y
3mr8_V	3mr8_W
3d5a_K	3d5a_Z
2qnh_j	2qnh_z
3d5c_G	3d5c_Z
3kix_y	3kix_v
3huy_V	3huy_W
2xfz_S	2xfz_V
2fmt_B	2fmt_C
2xfz_Y	2xfz_V
2wrk_Y	2wrk_V
1sjf_A	1sjf_B
1vbx_A	1vbx_B
1vby_A	1vby_B
2az0_A	2az0_C
2bny_C	2bny_S
3bo0_A	3bo0_F
3bbo_D	3bbo_A
3bbo_G	3bbo_A
3bbo_F	3bbo_A
3bbo_N	3bbo_A
3bbo_T	3bbo_A
3bbo_L	3bbo_A
3bbo_S	3bbo_A
3bbo_R	3bbo_A
3bbo_K	3bbo_A
3bbo_I	3bbo_A
3bbo_H	3bbo_A
3bbo_P	3bbo_A
3bbo_U	3bbo_A
3bbo_V	3bbo_A
3bbo_X	3bbo_A
3bbo_J	3bbo_A
3bbo_W	3bbo_A
3bbo_Z	3bbo_A
3bbo_Q	3bbo_A
3bbo_5	3bbo_A
3bbo_4	3bbo_A
3bbo_Y	3bbo_A
3bbo_O	3bbo_A
3bbo_6	3bbo_A
3bbo_E	3bbo_A
3bbo_3	3bbo_A
3bbo_2	3bbo_A
3bbo_M	3bbo_A
2wwb_B	2wwb_D
2ww9_A	2ww9_D
2wwa_N	2wwa_D
2wwb_K	2wwb_D
2ww9_O	2ww9_D
2ww9_L	2ww9_D
2v0g_A	2v0g_F
3id5_G	3id5_H
3id5_A	3id5_D
2anr_A	2anr_B
2pjp_A	2pjp_B
1ser_B	1ser_T
1mj1_O	1mj1_R
2pxl_A	2pxl_B
1rkj_A	1rkj_B
1h4s_A	1h4s_T
1hvu_K	1hvu_L
1hvu_A	1hvu_F
1hvu_D	1hvu_C
1ysh_D	1ysh_A
1ysh_C	1ysh_A
1ysh_E	1ysh_A
1pnx_M	1pnx_A
1pnx_K	1pnx_A
1pnx_J	1pnx_A
1pnx_F	1pnx_A
1pnx_I	1pnx_A
1pnx_L	1pnx_A
1pnx_G	1pnx_A
1pnx_R	1pnx_A
1pnx_T	1pnx_A
1pnx_N	1pnx_A
1pnx_Q	1pnx_A
1pnx_S	1pnx_A
1pnx_P	1pnx_A
1pnx_C	1pnx_A
1pnx_H	1pnx_A
1pnx_B	1pnx_A
1pnx_O	1pnx_A
1pnx_E	1pnx_A
1pnx_D	1pnx_A
1dz5_A	1dz5_C
2gtt_T	2gtt_X
2qex_Z	2qex_0
2qex_F	2qex_0
2qex_D	2qex_0
2qex_B	2qex_0
2qex_R	2qex_0
2qex_A	2qex_0
2qex_H	2qex_0
2qex_S	2qex_0
2qex_N	2qex_0
2qex_C	2qex_0
2qex_M	2qex_0
2qex_L	2qex_0
2qex_J	2qex_0
2qex_T	2qex_0
2qex_V	2qex_0
2qex_E	2qex_0
2qex_U	2qex_0
2qex_1	2qex_0
2qex_W	2qex_0
2qex_2	2qex_0
2qex_Q	2qex_0
2qex_G	2qex_0
2qex_P	2qex_0
2qex_O	2qex_0
2qex_X	2qex_0
2qex_3	2qex_0
2qex_Y	2qex_0
2qex_I	2qex_0
2qex_K	2qex_0
2bu1_C	2bu1_R
2gtt_D	2gtt_W
2uxd_M	2uxd_Y
2uxd_L	2uxd_Y
1d6k_A	1d6k_B
2pxp_A	2pxp_B
2iz9_C	2iz9_R
1qu3_A	1qu3_T
2zzn_A	2zzn_D
2zjq_W	2zjq_Y
2zjq_D	2zjq_Y
2zjq_T	2zjq_Y
2zjq_J	2zjq_Y
2zjq_L	2zjq_Y
2zjq_S	2zjq_Y
1r9f_A	1r9f_C
2i82_A	2i82_E
2xlk_A	2xlk_C
1qfq_B	1qfq_A
1efw_B	1efw_D
1c0a_A	1c0a_B
2zkr_p	2zkr_M
2hvy_C	2hvy_E
2hvy_A	2hvy_E
2hvy_D	2hvy_E
2bs0_C	2bs0_R
3hax_C	3hax_E
3hax_A	3hax_E
3hax_D	3hax_E
2zkq_n	2zkq_H
2zkq_s	2zkq_H
2f8s_A	2f8s_C
2wwa_A	2wwa_G
2wwa_J	2wwa_G
2go5_W	2go5_A
2go5_B	2go5_A
2go5_2	2go5_A
2go5_1	2go5_A
2bx2_L	2bx2_R
2vqe_M	2vqe_Y
2vqe_L	2vqe_Y
1gtn_L	1gtn_W
1gtn_C	1gtn_W
1a1t_A	1a1t_B
2zkr_w	2zkr_Y
2zkr_d	2zkr_Y
2zkr_n	2zkr_Y
2zkr_h	2zkr_Y
2zkr_q	2zkr_Y
2bs1_C	2bs1_S
1f7u_A	1f7u_B
3a6p_C	3a6p_D
3a6p_F	3a6p_I
1nwx_T	1nwx_9
1nwx_X	1nwx_9
1xbp_D	1xbp_9
1sm1_U	1sm1_9
1xbp_K	1xbp_9
1nkw_M	1nkw_9
1nkw_T	1nkw_9
1gax_A	1gax_C
3bo1_A	3bo1_F
1n33_L	1n33_Y
2awb_Y	2awb_A
2rdo_F	2rdo_A
3df2_M	3df2_A
2qox_W	2qox_A
2qam_M	2qam_A
3bbx_O	3bbx_A
2qoz_W	2qoz_A
3bbx_V	3bbx_A
1zjw_A	1zjw_B
3kix_m	3kix_a
3mr8_V	3mr8_A
3fic_K	3fic_A
3fic_J	3fic_A
3kiu_f	3kiu_a
3kiq_i	3kiq_a
3kiu_c	3kiu_a
3kiq_l	3kiq_a
3ms0_G	3ms0_A
3ms0_R	3ms0_A
3kis_t	3kis_a
3mr8_N	3mr8_A
3kis_q	3kis_a
3kix_u	3kix_a
3kis_r	3kis_a
3kiu_y	3kiu_a
3fic_Z	3fic_A
3fic_S	3fic_A
3fic_P	3fic_A
3mr8_C	3mr8_A
3kis_h	3kis_a
3kiu_b	3kiu_a
3kiu_o	3kiu_a
3fic_E	3fic_A
3ms0_D	3ms0_A
2om7_E	2om7_C
2om7_L	2om7_C
3hjy_A	3hjy_D
1r3e_A	1r3e_D
3hhn_D	3hhn_E
3htx_A	3htx_C
1dfu_P	1dfu_M
2pxt_A	2pxt_B
2i91_B	2i91_F
1eg0_K	1eg0_L
2zh7_A	2zh7_B
1ec6_A	1ec6_D
1s1i_F	1s1i_3
1s1i_K	1s1i_3
1s1i_O	1s1i_3
1s1i_Q	1s1i_3
1s1i_G	1s1i_3
1s1i_X	1s1i_3
1s1i_A	1s1i_3
1s1i_J	1s1i_3
1s1i_C	1s1i_3
1s1i_D	1s1i_3
1s1i_N	1s1i_3
1s1i_B	1s1i_3
1s1i_I	1s1i_3
1s1i_T	1s1i_3
1s1i_E	1s1i_3
1s1i_L	1s1i_3
1s1i_M	1s1i_3
1s1i_H	1s1i_3
1s1i_9	1s1i_3
1s1i_V	1s1i_3
1s1i_U	1s1i_3
1s1i_W	1s1i_3
1s1i_P	1s1i_3
1s1i_0	1s1i_3
1s1i_Z	1s1i_3
1s1i_Y	1s1i_3
1s1i_R	1s1i_3
1s1i_S	1s1i_3
1wz2_B	1wz2_D
1mj1_A	1mj1_Q
2wh4_R	2wh4_A
2wh2_U	2wh2_A
2wh4_3	2wh4_A
2wh4_F	2wh4_A
2wh2_H	2wh2_A
2wh4_G	2wh4_A
2wh2_5	2wh2_A
2wh2_X	2wh2_A
2wh4_0	2wh4_A
2wh4_E	2wh4_A
2wh2_P	2wh2_A
2wh2_K	2wh2_A
2wh4_Q	2wh4_A
2wh4_2	2wh4_A
2wh2_S	2wh2_A
2wh2_V	2wh2_A
2wh4_D	2wh4_A
2wh4_W	2wh4_A
2wh2_6	2wh2_A
2wh2_I	2wh2_A
2wh4_Y	2wh4_A
2wh2_N	2wh2_A
2wh2_9	2wh2_A
2wh2_C	2wh2_A
2wh2_8	2wh2_A
2wh4_Z	2wh4_A
2wh2_T	2wh2_A
2wh2_7	2wh2_A
2wh4_1	2wh4_A
2wh2_O	2wh2_A
2i2u_M	2i2u_W
2i2u_I	2i2u_W
2c51_C	2c51_R
2zzm_A	2zzm_B
2b3j_B	2b3j_E
3g8s_D	3g8s_R
1lng_A	1lng_B
2r8s_L	2r8s_R
1g1x_F	1g1x_I
1g1x_H	1g1x_I
1g1x_B	1g1x_D
3dd2_H	3dd2_B
3dd2_L	3dd2_B
2pxq_A	2pxq_B
1zdk_B	1zdk_S
3kis_c	3kis_x
3kis_g	3kis_x
3kis_y	3kis_x
3kis_e	3kis_x
2xb2_S	2xb2_R
2xb2_X	2xb2_R
2wdi_R	2wdi_A
2wdj_U	2wdj_A
2wdl_3	2wdl_A
2wdj_F	2wdj_A
2wdj_H	2wdj_A
2wdj_G	2wdj_A
2wdi_5	2wdi_A
2wdl_Q	2wdl_A
2wdn_X	2wdn_A
2wdj_0	2wdj_A
2wdn_E	2wdn_A
2wdj_P	2wdj_A
2wdn_Q	2wdn_A
2wdn_2	2wdn_A
2wdj_S	2wdj_A
2wdl_S	2wdl_A
2wdj_V	2wdj_A
2wdn_D	2wdn_A
2wdl_0	2wdl_A
2wdl_W	2wdl_A
2wdi_6	2wdi_A
2wdj_8	2wdj_A
2wdl_I	2wdl_A
2wdn_Y	2wdn_A
2wdj_N	2wdj_A
2wdj_9	2wdj_A
2wdl_C	2wdl_A
2wdi_8	2wdi_A
2wdn_Z	2wdn_A
2wdn_T	2wdn_A
2wdj_7	2wdj_A
2wdj_1	2wdj_A
2wdi_O	2wdi_A
1q2r_D	1q2r_E
2iz8_C	2iz8_S
1ry1_D	1ry1_E
1ry1_C	1ry1_E
2zh2_A	2zh2_B
2zh6_A	2zh6_B
2ct8_B	2ct8_D
1ry1_D	1ry1_N
1ry1_C	1ry1_N
3d5a_M	3d5a_A
3d5a_X	3d5a_A
3f1g_K	3f1g_A
3d5a_J	3d5a_A
3d5a_F	3d5a_A
3f1g_I	3f1g_A
3d5c_C	3d5c_A
3d5c_L	3d5c_A
3f1e_G	3f1e_A
3d5c_T	3d5c_A
3f1e_N	3f1e_A
3f1g_Q	3f1g_A
3f1e_U	3f1e_A
3f1g_R	3f1g_A
3f1g_S	3f1g_A
3f1e_P	3f1e_A
3f1g_H	3f1g_A
3f1g_B	3f1g_A
3d5c_O	3d5c_A
3d5c_E	3d5c_A
3f1e_D	3f1e_A
1t0k_B	1t0k_D
1s1i_F	1s1i_4
1s1i_Q	1s1i_4
1s1i_J	1s1i_4
1s1i_I	1s1i_4
1s1i_E	1s1i_4
2c4q_B	2c4q_R
2b2e_C	2b2e_S
1gtf_L	1gtf_W
2r92_B	2r92_P
2r92_A	2r92_P
1e7k_B	1e7k_C
2i91_A	2i91_D
1mfq_C	1mfq_A
1ry1_W	1ry1_A
1ry1_B	1ry1_A
1l9a_A	1l9a_B
2j37_W	2j37_A
1zdk_A	1zdk_R
2czj_G	2czj_H
3deg_C	3deg_J
2j28_Y	2j28_A
2j28_F	2j28_A
2wwq_Y	2wwq_A
2wwq_M	2wwq_A
3fik_O	3fik_A
3e1b_C	3e1b_A
2zh8_A	2zh8_B
3bo3_A	3bo3_B
1zse_A	1zse_R
3hhz_N	3hhz_R
2zkq_i	2zkq_F
3i1q_M	3i1q_V
3i1q_I	3i1q_V
3knj_L	3knj_V
3knj_G	3knj_V
1jgo_N	1jgo_1
1jgo_F	1jgo_1
1jgo_O	1jgo_1
3dkn_A	3dkn_E
2i82_B	2i82_F
3i9b_N	3i9b_1
3i9d_F	3i9d_1
3i9d_O	3i9d_1
3i9d_J	3i9d_1
3i9b_U	3i9b_1
3i9b_H	3i9b_1
2zkr_5	2zkr_O
2ww9_A	2ww9_E
2wwa_O	2wwa_E
2wwa_I	2wwa_E
2wwa_L	2wwa_E
3knm_R	3knm_A
3hux_U	3hux_A
3knk_3	3knk_A
3knm_F	3knm_A
3kno_H	3kno_A
3knk_G	3knk_A
3knm_T	3knm_A
3knm_5	3knm_A
3kni_Q	3kni_A
3hux_X	3hux_A
3knm_0	3knm_A
3knm_E	3knm_A
3kni_P	3kni_A
3hux_Q	3hux_A
3kni_2	3kni_A
3hux_S	3hux_A
3kno_V	3kno_A
3hux_D	3hux_A
3kni_W	3kni_A
3kni_6	3kni_A
3hux_I	3hux_A
3kni_Y	3kni_A
3knk_N	3knk_A
3kno_9	3kno_A
3kno_C	3kno_A
3kni_8	3kni_A
3huz_Z	3huz_A
3hux_T	3hux_A
3kni_7	3kni_A
3kno_1	3kno_A
3huz_O	3huz_A
1g1x_F	1g1x_E
1g1x_C	1g1x_E
1g1x_G	1g1x_J
2bq5_C	2bq5_S
2zni_A	2zni_C
3egz_A	3egz_B
2uub_M	2uub_Y
2uub_L	2uub_Y
3fin_3	3fin_B
3kiy_G	3kiy_B
3mrz_W	3mrz_B
3ms1_M	3ms1_B
3kiw_S	3kiw_B
3fin_4	3fin_B
3kiy_4	3kiy_B
3fin_Z	3fin_B
2zkr_e	2zkr_T
1ooa_A	1ooa_C
2zko_A	2zko_C
2zi0_B	2zi0_D
1u63_A	1u63_B
3i1m_M	3i1m_A
3ora_K	3ora_A
3i1m_D	3i1m_A
3i1z_J	3i1z_A
3i1q_E	3i1q_A
3i1m_I	3i1m_A
3i1q_C	3i1q_A
3i1m_L	3i1m_A
3ora_M	3ora_A
3i1q_R	3i1q_A
3or9_S	3or9_A
3or9_Q	3or9_A
3i1m_N	3i1m_A
3i1m_T	3i1m_A
3i1q_P	3i1q_A
3i1m_R	3i1m_A
3i1q_G	3i1q_A
3i1m_F	3i1m_A
3i1q_U	3i1q_A
3i1z_H	3i1z_A
3or9_B	3or9_A
3ora_O	3ora_A
3ora_E	3ora_A
3ora_D	3ora_A
1jgp_N	1jgp_1
1jgp_F	1jgp_1
1jgp_O	1jgp_1
1jgp_H	1jgp_1
3foz_B	3foz_D
2e5l_M	2e5l_A
2e5l_K	2e5l_A
2e5l_J	2e5l_A
2e5l_F	2e5l_A
2e5l_C	2e5l_A
2e5l_L	2e5l_A
2e5l_I	2e5l_A
2e5l_G	2e5l_A
2e5l_T	2e5l_A
2e5l_N	2e5l_A
2e5l_Q	2e5l_A
2e5l_V	2e5l_A
2e5l_R	2e5l_A
2e5l_S	2e5l_A
2e5l_P	2e5l_A
2e5l_H	2e5l_A
2e5l_B	2e5l_A
2e5l_O	2e5l_A
2e5l_E	2e5l_A
